Ni, li error, fi error

2,  22.711197642324333, 22.711197642324336
3,  21.649405516048837, 21.649405516048837
4,  14.686180623564013, 13.94353410863948
5,  10.218908758041362, 12.432983333325692
6,  9.1310152600498680, 5.5026109936073295
7,  7.6741527461184730, 4.565608610358166
8,  6.5785051589831210, 1.9105510951614055
9,  5.7626612576182290, 1.67677398346675
10, 5.1183216789025390, 0.5985864783121405
11, 4.6068045118461160, 0.5037019075180998
12, 4.1863982684817410, 0.17153649087632974
13, 3.8368401902337923, 0.14961985921741844
14, 3.5393034694192650, 0.04567310288349751
15, 3.2833379455426540, 0.038639338029557664
16, 3.0646545116678507, 0.011370880375356602
17, 2.8723652238451227, 0.009879750091219523
18, 2.7018909215072970, 0.002675106858934583
19, 2.5506908553851853, 0.0022693894684653404
20, 2.4157381820793380, 0.0005964578948282365
21, 2.2940344800438710, 0.0005169355831899012
22, 2.1840608826292220, 0.00012704450362696233
23, 2.0843849965829353, 0.00010796025643882572
24, 1.9930942571150430, 2.5875094054542643e-05
25, 1.9093971707184831, 2.2386916657607345e-05
26, 1.8326410275533820, 5.0727193748557946e-06
27, 1.7618087682361110, 4.315598785749228e-06
28, 1.6960617832326990, 9.732446137376617e-07
29, 1.6351459118700993, 8.390330839900613e-07
30, 1.5784896495367184, 4.797608465621716e-07
31, 1.5255463485442942, 5.021275904133948e-07
32, 1.4760649194625985, 4.737867058895344e-07
33, 1.4296916289205301, 4.780858228537728e-07
